Elliott Smith	177615802	2341803
Imagine Dragons	175601611	3097992
Bon Iver	175003632	2852472
AC/DC	174922464	3687488
Mac DeMarco	174861099	2038741
U2	174662590	4198627
J. Cole	174048319	2952981
A$AP Rocky	172705422	2262516
The Doors	171900118	3940774
Phoebe Bridgers	170551651	1394572
Twenty One Pilots	170208126	2131558
Justin Bieber	167531615	3371954
Jay-Z	166636010	4709012
Rise Against	166574617	2438052
Tool	165158571	2058301
Seventeen	163928369	600804
The xx	163256093	2413311
Mariah Carey	162852366	3849774
yeat	162323733	819228
Bruno Mars	160144244	3712930
The Black Keys	159858632	2786799
Bad Bunny	159637336	1253166
Beach House	159305967	2471515
Fleetwood Mac	159103004	3539301
Pixies	158974227	3419763
The Offspring	158466842	3671298
Christina Aguilera	156603419	3525521
Kali Uchis	156365738	1904351
Interpol	156179249	2758586
The White Stripes	155307588	3937547
Guns N' Roses	152809244	4202360
Crystal Castles	152686601	2304983
Modest Mouse	151798316	2886220
BROCKHAMPTON	150103390	1253438
John Mayer	149674599	3157165
MGMT	148850560	4064083
Red Velvet	148379414	879432
Marilyn Manson	148029390	2678600
NewJeans	145328706	955235
Black Sabbath	145090928	3371969
Black Sabbath	145090928	3371969
Steve Lacy	144203620	1889433
Halsey	141704038	1893962
Aphex Twin	141582886	2287284
Massive Attack	141538455	2992476
Melanie Martinez	139923707	1517302
Joy Division	139841218	2745642
Grimes	138839522	1891783
Selena Gomez	137255610	2193793
Avenged Sevenfold	137114421	2221351
David Guetta	136600707	4181699
RM	136583646	435422
Calvin Harris	136183802	3770567
Amy Winehouse	135131153	3508216
Demi Lovato	135068131	2451259
Blur	134609670	3807970
Franz Ferdinand	134547380	3881652
Megadeth	134519498	1854931
Jack Johnson	133162136	3052916
Evanescence	132886091	3182506
Vampire Weekend	132043409	2899815
Johnny Cash	130486975	3439144
Disturbed	130338387	2885911
The Kooks	129519605	3200343
Alice in Chains	128157622	2590155
Metro Boomin	127297919	1556417
Boards of Canada	126890283	1734645
Incubus	126712692	3013941
Sia	125394758	3386643
5 Seconds of Summer	125028869	1529230
Beck	122964303	3534870
R.E.M.	121744153	3629825
Rage Against the Machine	120782564	3507127
JPEGMAFIA	120686605	801712
Kylie Minogue	120210336	2742556
Bloc Party	120167156	2893764
Clairo	119412280	1696138
Hozier	118511453	2162498
Cigarettes After Sex	118059190	1650973
21 Savage	117738685	1430472
Baby Keem	117472273	1259327
Mumford & Sons	116941415	2313971
Trippie Redd	116404977	1220834
LUCKI	115783025	614913
Shakira	115762600	3671102
Ellie Goulding	115589081	2988094
Exo	114370757	686533
Three Days Grace	114368749	2886136
The Beach Boys	113373391	3385270
The Clash	112841134	3214688
Conan Gray	112422489	1511364
A Day to Remember	112101293	1589988
Sum 41	111998079	2812559
M83	111448670	2820495
Frank Sinatra	110836702	3652078
Moby	110831381	3051332
ENHYPEN	109678140	589042
Carly Rae Jepsen	109671954	2133210
Carly Rae Jepsen	109671954	2133210
Death Grips	109626006	906084
ABBA	109120978	3077619
Bruce Springsteen	108615684	2845548
Elton John	108478739	4041114
Elvis Presley	107352175	3448387
Rosalía	107070425	1175184
Hans Zimmer	106318615	2075270
Black Eyed Peas	106033356	4721680
Slayer	105678040	1882190
Portishead	105400630	2561188
Jimi Hendrix	104742650	3479485
Limp Bizkit	104360576	3017846
Young Thug	104045353	1268676
Yeah Yeah Yeahs	103662754	3168663
Air	102922848	2540917
TV Girl	102777811	1492967
Nickelback	102648849	3430051
P!nk	102040240	3475281
Brent Faiyaz	101555587	1224124
Fiona Apple	101456363	2081509
The Shins	101115862	2765322
alt-J	100960000	1871253
OneRepublic	100853073	3503850
Troye Sivan	100194522	1691841
Snow Patrol	100003252	3500117
pinkpantheress	99499735	1617305
Sonic Youth	98739730	2205020
Beastie Boys	98672322	2905557
2Pac	98543393	3237190
Bullet for My Valentine	97885844	2109197
Earl Sweatshirt	97607970	1152112
Marina	97349793	1362659
Papa Roach	97326252	3004408
MF DOOM	97077755	1546721
Pop Smoke	96629317	1118194
Phoenix	96390439	2610307
Car Seat Headrest	96096409	913506
The Velvet Underground	95758469	2657787
Fleet Foxes	95453348	2131285
OutKast	95350456	3785349
Breaking Benjamin	95136171	2377433
Nas	95120183	2764461
All Time Low	94849165	1933784
Two Door Cinema Club	94739130	2477351
Charlie Puth	94566835	1585714
Aerosmith	94047324	3777225
Ateez	94039647	442039
Talking Heads	93169534	2470452
Loona	92865189	792652
beabadoobee	92642393	1339079
The Who	92304497	3348165
Lil Baby	92239817	1032235
Shawn Mendes	92163528	1869141
Foals	92067678	1857197
Foals	92067678	1857197
Chris Brown	91744704	3764810
Chris Brown	91744704	3764810
aespa	91677377	662238
Ramones	90965117	2410476
Little Mix	90854167	1354726
The Cranberries	90796988	3344828
Sabrina Carpenter	90599022	1250975
Kate Bush	90482189	2376527
Kelly Clarkson	90414535	3461411
Yung Lean	89998311	844519
Denzel Curry	89649401	1045211
Pierce The Veil	88590531	1175129
Ghost	88205175	1101798
NCT 127	88184332	524225
Bob Marley & The Wailers	87829409	2654627
Foster the People	87315188	2826207
My Bloody Valentine	87292175	1551653
Simon & Garfunkel	87052850	2997677
Tove Lo	87028006	1729237
Creedence Clearwater Revival	86934382	3229489
Pantera	86866273	1976271
Jimmy Eat World	86858851	2694647
Bon Jovi	86820797	3251873
Cocteau Twins	86568925	1504715
YoungBoy Never Broke Again	85914391	678466
Lily Allen	85447093	2803580
LE SSERAFIM	85332212	657044
New Order	84637074	2540458
Keane	84221995	3142329
Sam Smith	83630065	2354737
Anitta	83412706	776467
Judas Priest	83269577	1741458
Nick Cave & The Bad Seeds	83210719	1714948
Nick Cave & The Bad Seeds	83210719	1714948
Bones	83009677	751989
Slowdive	82957175	1370625
Daniel Caesar	81771703	1355703
Neutral Milk Hotel	81604655	1801857
Johann Sebastian Bach	81115456	2143600
Rex Orange County	81075649	1410136
PJ Harvey	80870669	1826844
Avicii	80790392	2571387
Glass Animals	80695037	1802016
Gunna	80618381	1064103
Itzy	80327589	647854
Metric	80058253	2135343
The Kid Laroi	79240533	1378539
The Kid Laroi	79240533	1378539
Dire Straits	78970008	2755138
Norah Jones	78772874	2469702
Madvillain	78222442	1439770
M.I.A.	78071907	2646559
Misfits	78010277	1305162
Chase Atlantic	77971339	1010055
Wilco	77466265	1649096
Megan Thee Stallion	77175967	1339534
A Tribe Called Quest	75860933	1960000
Destroy Lonely	75743437	483903
Ken Carson	75613166	503458
Lykke Li	75411889	2415361
The Notorious B.I.G.	75097654	3136718
Ive	74623144	596649
Machine Gun Kelly	74427948	1275108
King Gizzard & The Lizard Wizard	73738652	716978
Logic	73592046	1301940
Sublime	73425864	2325478
James Blake	73203891	1569756
Rina Sawayama	73175122	878268
Zayn	73118860	1540759
Camila Cabello	72729565	1424085
Michael Bublé	72686411	2826951
SHINee	72510052	568627
Jason Mraz	72474761	2877811
Stevie Wonder	72179179	3119558
FKA twigs	71464687	1154030
Skrillex	71247819	2366479
Polo G	71020459	834641
Bastille	70947062	1869598
50 Cent	70854224	3746957
Alicia Keys	70758341	3240505
Joey Bada$$	70609926	1219481
Nelly Furtado	70278170	3474995
Prince	70105439	2441519
The Kinks	69943044	2722312
Pavement	69856656	1615737
The Police	69785439	3276875
The Police	69785439	3276875
Justice	69779250	2060454
Billy Joel	69457932	2866293
LCD Soundsystem	69449489	2027673
Don Toliver	68287699	1226986
3 Doors Down	68179703	2961454
Jamiroquai	68031384	2120571
Soundgarden	68025622	2492183
Audioslave	67761122	2630212
Pabllo Vittar	67573853	407778
(G)I-DLE	67227378	685181
Tiësto	67077551	2572001
Scorpions	66758686	2220647
Jeff Buckley	66497034	2209175
Duster	66324708	918649
Miles Davis	66280688	1939324
Miles Davis	66280688	1939324
Lil Yachty	66210492	1154663
Chief Keef	65638925	1059770
Ozzy Osbourne	65190777	2365712
The Fray	65114505	2809450
Dr. Dre	65032742	3270033
Nick Drake	64995187	1837909
Frédéric Chopin	64640492	1874708
Kiss	64268277	2362408
Wiz Khalifa	63852231	3098152
Eric Clapton	63280646	2879914
Eric Clapton	63280646	2879914
NCT DREAM	63238153	463558
Girl In Red	62079380	1509914
Freddie Gibbs	61770477	889395
Gracie Abrams	61675076	702749
The Lumineers	61554130	2002278
Khalid	61341165	1603052
Tory Lanez	61293712	1198083
Wolfgang Amadeus Mozart	61111006	2147480
Wolfgang Amadeus Mozart	61111006	2147480
Wallows	61107509	1307865
Owl City	60613175	2127325
IU	60428532	713615
Pitbull	60341590	3199183
Usher	60166216	3774667
Alanis Morissette	60055704	2287567
Kim Petras	59807551	797269
Snoop Dogg	59750083	3529294
Dominic Fike	59508848	1319072
Kodak Black	59390233	1154379
NF	59321245	899132
A BOOGIE WIT DA HOODIE	59283528	949385
Mindless Self Indulgence	58984186	993295
The All-American Rejects	58765785	2570745
Of Monsters and Men	57982614	1866788
Keshi	57816846	664132
Måneskin	57724751	1175202
Summer Walker	57711656	1110549
Summer Walker	57711656	1110549
John Lennon	57554099	3151569
Van Halen	57381460	2416123
Wu-Tang Clan	57293612	2006622
The Chainsmokers	57056799	1891589
C418	56463347	781636
Nina Simone	56095178	2387825
100 gecs	55959563	795996
Marvin Gaye	55956827	2818313
No Doubt	55886735	2677268
Lauv	55708307	1248168
Simple Plan	55697167	2195604
Eagles	55670678	2987872
Dreamcatcher	55662347	404605
Lil Tecca	55457939	953303
Seether	55364847	1961595
Jid	55264230	867341
Jão	55104068	309850
Mother Mother	55006160	1213950
Vince Staples	54963543	1056886
Sade	54921064	2054053
Sade	54921064	2054053
Paul McCartney	54715069	2534570
Disclosure	54513118	1744644
Tears for Fears	54020771	2757472
Ludovico Einaudi	53896703	1405681
Ludovico Einaudi	53896703	1405681
Toby Fox	53693326	650839
Gwen Stefani	53600214	3271453
STAYC	53271607	487826
Genesis	53259656	1704508
Robbie Williams	53196737	2323956
Azealia Banks	52987820	1219493
Luísa Sonza	52807101	391572
Electric Light Orchestra	52496558	2296048
Noah Kahan	52380295	794832
Major Lazer	52117084	2163756
Flume	52013438	1411812
Mika	51989200	2142623
The Cardigans	51971607	2492513
The Cardigans	51971607	2492513
King Krule	51906877	810206
Mazzy Star	51369686	1686047
Armin van Buuren	51014065	1487722
Armin van Buuren	51014065	1487722
Nujabes	50962836	693514
Portugal. The Man	50938492	1555200
The Script	50532202	2301823
Caroline Polachek	50442883	713512
Jennifer Lopez	50373370	2929573
Labrinth	50033657	1877730
HAIM	50015736	1245902
Laufey	49888277	862417
J Dilla	49794797	1040713
J Dilla	49794797	1040713
Boygenius	49588156	649896
Blondie	49517983	2567337
Blackbear	49334808	1241691
Aurora	49330827	1204420
Isaiah Rashad	49245750	831114
Tinashe	49004309	876316
Flo Rida	48914402	3163074
Bo Burnham	48723991	759365
Metronomy	48525772	1275009
Danny Brown	48411072	844339
Arca	48389392	578989
Cavetown	48360767	1012497
Pet Shop Boys	48264376	1725507
Big Thief	48192355	839848
ScHoolboy Q	48105088	1417669
Sting	47988195	2206701
Tate McRae	47982173	1092794
Cardi B	47556926	1588853
Thundercat	47111668	1373051
Iggy Azalea	46841750	1404894
Migos	46722989	1327490
The Last Shadow Puppets	46697330	1334985
Manu Chao	46550532	1527038
Manu Chao	46550532	1527038
Backstreet Boys	46199544	2225261
Stone Temple Pilots	46020406	1965626
ECCO2k	45890964	422798
Pusha T	45707450	1211233
Mötley Crüe	45522061	1539727
Phil Collins	45519848	2494057
Willow	45455012	1461858
Ava Max	45197804	1081343
Aminé	44990012	1107310
PARTYNEXTDOOR	44985165	1143893
Bee Gees	44883993	2571767
Lynyrd Skynyrd	44690195	2600632
Daughter	44586170	1231288
Daughter	44586170	1231288
Duran Duran	44441291	2235933
Lisa	44262194	906344
Lizzo	44256916	1357791
Van Morrison	44248169	2123831
Chance the Rapper	44213404	1053621
Empire of the Sun	43940189	2036268
Rob Zombie	43858098	1711823
Madison Beer	43775758	901923
Pulp	43766702	1514564
Big Sean	43688920	2283708
Blood Orange	43680647	1092072
Bryson Tiller	43664916	975926
Jonas Brothers	43597862	1590399
The Verve	43271584	2550364
Faye Webster	43263936	920316
The Game	43246334	2705294
Miguel	42991211	1863228
Jessie Ware	42964667	973485
John Legend	42953559	2566011
Jessie J	42732096	2287068
Lil Wayne	42570991	1279974
Niall Horan	42490408	971196
Marshmello	42391109	1753153
Ella Fitzgerald	42358344	2344122
Kygo	42349967	1481231
Fugazi	42322383	1103064
a-ha	42262416	2513148
Timbaland	42255969	2700299
SKI MASK THE SLUMP GOD	42071728	888170
Journey	42056280	2453435
DJ Khaled	41644138	2242941
Whitney Houston	41567639	2453596
Macklemore & Ryan Lewis	41374239	1916095
The Pussycat Dolls	41160864	2712638
Erykah Badu	41123334	1530005
Steely Dan	41060612	1277142
Dave	41047505	787160
Kacey Musgraves	40965595	848114
Gucci Mane	40876738	2109490
George Harrison	40701946	1888289
Zedd	40661190	1846447
The Avalanches	40531730	1119176
Flyleaf	40509973	1390509
Solange	40488832	1224804
Lou Reed	40469142	1944093
Lou Reed	40469142	1944093
Ice Cube	40468282	2417714
Westside Gunn	40205336	690012
lil tjay	40193735	677372
Autumn!	40150897	254476
Nothing But Thieves	40088557	771652
Gotye	40053085	2265194
Siouxsie and the Banshees	39988503	1331530
Type O Negative	39945692	782429
Lil Durk	39837823	750291
Hole	39661349	1496673
fun.	39476946	1964993
Billie Holiday	39439767	1874712
Paul Simon	39243211	1745504
Anderson .Paak	39154758	911655
Birdy	39145256	1491901
Destiny's Child	38938176	2635826
NAV	38909702	809253
Train	38846617	2604000
Aretha Franklin	38815713	2346623
Father John Misty	38669315	987266
La Roux	38574496	1789334
DaBaby	38541837	1050638
Ne-Yo	38536549	2573688
Alvvays	38456014	848413
Bryan Adams	38267422	2369317
Enrique Iglesias	37980016	2099698
Santana	37913540	2210407
Lenny Kravitz	37793385	2266033
J Balvin	37778530	1164777
IZ*ONE	37710411	362622
IZ*ONE	37710411	362622
Charlie Brown JR.	37662738	505292
The Drums	37637198	1621383
Title Fight	37548823	608729
Zach Bryan	37242035	536097
Akon	37033413	2807450
George Michael	36876664	2341534
Kids See Ghosts	36666373	770028
Toto	36522872	2230520
Poppy	36515263	679907
omar apollo	36493775	981756
3OH!3	36325810	1426206
Jaden	36312299	911052
The Front Bottoms	36154969	586606
Mark Ronson	36144265	2231179
Fifth Harmony	36001443	1131005
Kaytranada	35899652	961737
LoveJoy	35889695	400138
Lord Huron	35713097	1427774
Jhené Aiko	35689489	999062
Kehlani	35642357	1015516
Sleeping with Sirens	35523084	706502
Japanese Breakfast	35399172	796880
Hoobastank	35223454	2243974
Hoobastank	35223454	2243974
Clean Bandit	35192858	1710601
Louis Armstrong	35164923	2403238
Weyes Blood	35114691	716183
Martin Garrix	35101835	1570845
Antonio Vivaldi	35085364	1629533
Lizzy McAlpine	34962670	746189
Swedish House Mafia	34857028	2058294
t.A.T.u.	34849940	1522438
Selena Gomez & the Scene	34561074	1763740
Roddy Ricch	34520485	984491
Zara Larsson	34452351	1215104
Have a Nice Life	34245964	670398
B.o.B	34221370	2430188
Kero Kero Bonito	34206840	706668
Grouper	34064967	808536
Stromae	34020470	1282325
Gnarls Barkley	33981298	2178942
Fergie	33949931	2641075
Otis Redding	33947185	1932170
Giveon	33879797	834776
Pharrell Williams	33789543	2273542
Chico Buarque	33732272	675737
Manchester Orchestra	33709763	1139356
Lewis Capaldi	33677916	1071776
Modern Baseball	33623880	502949
AJR	33582489	865949
Ethel Cain	33500205	521804
Falling in Reverse	33338632	831176
Vance Joy	33311862	1715341
Ray Charles	33180829	2181164
Morgan Wallen	33086039	445315
Meek Mill	33061220	1366455
G-Eazy	32854584	1317111
The Garden	32849273	568205
Ashnikko	32847487	869262
Earth, Wind & Fire	32841568	2204056
Freddie Dredd	32784653	731900
Chet Baker	32761637	1376307
Supertramp	32741845	1701199
The Marías	32700041	929398
MAMAMOO	32576815	510412
Cults	32499278	1635894
taeyeon	32491309	413349
Machine Girl	32398184	581873
$NOT	32391583	652762
Kesha	32372159	1318053
Wolf Alice	32304117	833934
League of Legends	32248526	777549
Royal Blood	32242814	863088
Royal Blood	32242814	863088
Pi’erre Bourne	32194223	449884
Oliver Tree	32058208	1067348
Billy Idol	32004627	2043056
Taemin	31760524	423019
Nat King Cole	31559279	2316538
Phantogram	31430916	1301599
Gym Class Heroes	31411700	2047135
Yves Tumor	31402431	716578
Ciara	31290501	2244255
Karol G	31198944	843991
Eyedress	31093814	1207278
d4vd	31091105	1043780
Sleep Token	31077116	293932
Benny Blanco	31025109	994137
Motionless in White	31023859	577424
Jeremy Zucker	30883464	790883
Lamp	30646539	556902
Niki	30638509	605643
Young the Giant	30476844	1438713
bôa	30245736	953551
Meghan Trainor	30075804	1506844
Black Country, New Road	30057960	432586
DJ Snake	29989167	1675105
Passenger	29915764	1471667
Passenger	29915764	1471667
Tom Odell	29857974	1414318
Alec Benjamin	29839534	887587
BABYMETAL	29819514	500846
BABYMETAL	29819514	500846
Plain White T's	29491387	2006777
Plain White T's	29491387	2006777
Sean Paul	29441857	2216033
Alan Walker	29216470	1169059
Rauw Alejandro	29215362	510329
Pyotr Ilyich Tchaikovsky	29200215	1612004
James Arthur	29081764	1267775
Current Joys	29055991	956076
Kai	29040352	437310
Blue Öyster Cult	29012249	1667456
GhosteMane	29000961	591557
Claude Debussy	28966559	1615170
Bebe Rexha	28870872	1068914
Dean Martin	28793922	2183085
Peter Bjorn and John	28688922	1656915
VACATIONS	28647157	1017822
King Von	28582202	479000
Bad Omens	28519545	337341
Jorja Smith	28458767	934452
Grouplove	28410921	1662009
Young Nudy	28305485	622387
Girls' Generation	28286398	463076
FROMIS_9	28170564	310850
Spice Girls	28132588	1935696
A$AP Ferg	28124573	1138423
Unknown Mortal Orchestra	28124445	955712
Unknown Mortal Orchestra	28124445	955712
Everglow	28119770	455942
Lucy Dacus	28119363	645519
NLE Choppa	28100272	806621
Rae Sremmurd	28073858	1261315
Daddy Yankee	28035519	1490394
Jungle	27970243	1004141
Declan Mckenna	27954948	907338
Tyga	27887496	2331059
Still Woozy	27806324	867582
Lil Darkie	27802056	401368
NMixx	27772432	385361
American Football	27695199	749641
Lemon Demon	27569398	515851
Lemon Demon	27569398	515851
Nelly	27313414	2674338
NCT U	27197478	364204
Smino	27196643	598382
Matt Maltese	27106789	990777
6LACK	27066561	741155
yoasobi	27064461	477185
Cascada	27054359	1616004
Milky Chance	26995148	1261336
Bizarrap	26952630	613435
Aaliyah	26916162	1577556
Khruangbin	26890684	721628
Peach Pit	26615435	737265
Beach Fossils	26563681	949323
Eve	26490244	1169820
Psy	26477760	1149559
Babytron	26370450	257534
Babytron	26370450	257534
DPR IAN	26317241	396412
Mobb Deep	26204357	1323645
The Mamas & the Papas	26154280	1955476
Cyndi Lauper	26031735	2223130
Turnstile	25835871	481420
Turnstile	25835871	481420
KanKan	25835415	385761
Yungblud	25833275	703573
Yungblud	25833275	703573
Marina Sena	25786143	257047
Wham!	25784260	2386319
Al Green	25722326	1746844
Tracy Chapman	25697542	1591849
Bill Withers	25614207	1940118
bazzi	25231308	1015985
SunMi	25220577	491179
K/DA	25192719	567421
Dr. Dog	25176405	1209441
Catfish and The Bottlemen	25156099	680362
Maisie Peters	25091684	487110
Alessia Cara	25089884	1210213
Kevin Abstract	25033494	685370
Dreamville	24998103	655141
Sweet Trip	24622639	525898
The Alchemist	24583628	934648
Saba	24469768	629119
ICE SPICE	24458970	844203
Little Simz	24429367	638025
LMFAO	24351503	1879038
Steven Universe	24311933	466302
bbno$	24225608	709300
Beach Bunny	24127834	940520
Russ	24100939	875978
George Ezra	24098435	1121148
Ricky Montgomery	23997674	757855
The Jackson 5	23989173	2286567
Dayglow	23974674	965181
SLEEPY HALLOW	23962216	498058
Mary J. Blige	23923407	1843641
WAYV	23800558	340494
WAYV	23800558	340494
Homixide Gang	23764944	256850
Tay-K	23757664	599015
slayyyter	23705606	459113
Dolly Parton	23600867	1661947
Xavier Wulf	23546037	538512
Eurythmics	23474649	2143830
Feid	23352459	317993
Central Cee	23293984	676834
Taio Cruz	23250452	2205240
Sam Cooke	23197680	1462310
Pinegrove	23185811	651005
Cochise	23135585	622030
Bleachers	23064643	804198
H.E.R.	23059311	915584
Cuco	22980670	790012
Skepta	22922506	742413
Fred again..	22886434	587874
The Internet	22881948	885536
Diplo	22841955	1482442
Corpse	22833837	514140
Natasha Bedingfield	22813979	1943908
Walk the Moon	22746171	1338388
Tom Petty	22746110	1518823
Salvia Palth	22724958	859574
Yung Gravy	22708624	732678
Surf Curse	22698293	1064809
JVKE	22671940	909155
Ichiko Aoba	22635255	423951
YNW Melly	22468316	710044
The Zombies	22448073	1379850
Her's	22232694	829853
Foreigner	22227920	1786606
Tally Hall	22072494	657586
I DONT KNOW HOW BUT THEY FOUND ME	21970355	570933
Neon Trees	21962323	1488849
Patrick Watson	21960031	1081074
BØRNS	21758992	1214886
Mike Posner	21616530	1844501
Broadcast	21496910	779484
Broadcast	21496910	779484
Panchiko	21381774	476465
Fugees	21295010	1791741
BADBADNOTGOOD	21289843	789136
Offset	21232021	909405
Fifty Fifty	21194355	872714
Joe Hisaishi	21160363	568435
Novo Amor	21121921	810029
88Rising	21021123	735196
Corinne Bailey Rae	20978671	1642504
Corinne Bailey Rae	20978671	1642504
Rainbow Kitten Surprise	20947076	609270
Etta James	20941136	1657108
FINNEAS	20851773	751479
*NSYNC	20841376	1505573
Kansas	20795915	1678584
Kansas	20795915	1678584
The Living Tombstone	20747092	674440
Simple Minds	20720974	1596730
Simple Minds	20720974	1596730
Coin	20644124	756707
Gal Costa	20548903	611819
Dean Blunt	20442356	421288
TLC	20226110	1843841
will.i.am	20193507	1846047
Heart	20056148	1586136
Sophie Ellis-Bextor	20035421	1166007
The Animals	19977034	1885573
6ix9ine	19938281	763889
6ix9ine	19938281	763889
Hotel Ugly	19885030	955878
Gregory Alan Isakov	19845197	769031
Mr.kitty	19807655	691572
Bibi	19774480	478941
The Japanese House	19730989	788430
Maggie Rogers	19663400	653514
wave to earth	19661382	294881
XG	19631388	364440
Hailee Steinfeld	19374382	958256
Odetari	19344375	383299
America	19301383	1395205
boy pablo	19273921	753898
Victoria Monét	19256160	726838
GoldLink	19141380	854912
Taeyang	19032872	365619
ROAR	18974829	854070
Jeremih	18807266	1600771
The Backseat Lovers	18723791	611301
Ty Dolla $ign	18572921	1077530
The Temptations	18544881	1804959
DEAN	18518891	462751
Molchat Doma	18461791	643813
Max	18456734	831640
Max	18456734	831640
Raye	18396509	832225
Crumb	18393893	756722
Vansire	18379152	1007024
AdriAnne Lenker	18319608	423195
Capital Cities	18315706	1306093
Key Glock	18211217	582225
The Wanted	18172379	1245965
Icona Pop	18006747	1341079
Dusty Springfield	18004510	1549245
Reneé Rapp	18001121	387379
French Montana	17954329	1314492
Maluma	17949976	678499
Basement	17825655	526190
Wonder Girls	17755141	468338
The walters	17678134	1025278
Fitz and the Tantrums	17651796	1245890
Plan B	17647673	939232
Jack Stauber's Micropop	17593235	511350
Sonder	17585507	562892
Set It Off	17545210	449557
Set It Off	17545210	449557
Boney M.	17533425	1512877
Far East Movement	17529753	1615805
Rita Lee	17519542	496471
The Vamps	17511886	825579
Chris Isaak	17411036	1278090
T-Pain	17399750	1776279
Luke Combs	17386102	398965
Djo	17348361	598455
Ms. Lauryn Hill	17332698	802660
Alesso	17274125	1126203
Internet Money	17208052	742637
Daryl Hall & John Oates	16986260	1094102
Mura Masa	16799973	867213
Ado	16718987	270755
Tim Maia	16665563	532163
Yot Club	16600894	858875
Don Omar	16595387	1147381
Julia Michaels	16583316	870538
Saint Motel	16424718	866278
UMI	16421392	586959
Loathe	16318230	402664
Elis Regina	16277048	713163
Elis Regina	16277048	713163
Jay Rock	16261153	989436
Sean Kingston	16180208	1971145
JackBoys	16122982	651832
Becky G	16115924	961069
Strawberry Guy	16101811	813078
Gesaffelstein	16041626	965599
Ozuna	15935925	605834
Jason Derulo	15885658	1127611
The Paper Kites	15595190	833854
Mike	15554641	416530
Jennie	15544450	461374
Eslabon Armado	15527316	438702
Soulja Boy	15476264	1846529
Nayeon	15439399	394864
Nick Jonas	15436649	962350
Sixpence None the Richer	15214725	1454945
Lost Frequencies	15183424	889101
Fetty Wap	15159438	971838
Øneheart	15147557	474240
Jack Stauber	15112040	639759
Alok	15104792	777776
Frankie Cosmos	15079585	730306
Bakar	15059341	770016
Ashe	15020168	777590
Montell Fish	14933509	665128
Suki Waterhouse	14883165	792634
Tyler Childers	14780682	296454
Tyler Childers	14780682	296454
Two Feet	14749824	757385
Two Feet	14749824	757385
